Age,Gender,Academic_Level,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Conflicts_Over_Social_Media,Addicted_Score,Age_Group,Country,Relationship_Status
19,Female,Undergraduate,,Instagram,Yes,6.5,6,3,8,15-19,Bangladesh,In Relationship
22,Male,Graduate,,Twitter,No,7.5,8,0,3,20-24,India,Single
20,Female,Undergraduate,,TikTok,Yes,5.0,5,4,9,20-24,USA,Complicated
18,Male,High School,,YouTube,No,7.0,7,1,4,15-19,UK,Single
21,Male,Graduate,,Facebook,Yes,6.0,6,2,7,20-24,Canada,In Relationship
19,Female,Undergraduate,,Instagram,Yes,4.5,4,5,9,15-19,Australia,Complicated
23,Male,Graduate,,LinkedIn,No,8.0,9,0,2,20-24,Germany,Single
20,Female,Undergraduate,,Snapchat,Yes,6.0,6,2,8,20-24,Brazil,In Relationship
18,Male,High School,,TikTok,No,6.5,7,1,5,15-19,Japan,Single
21,Female,Graduate,,Instagram,No,7.0,7,1,4,20-24,South Korea,In Relationship
19,Male,Undergraduate,,Snapchat,Yes,6.2,5,3,7,15-19,France,Complicated
20,Female,Undergraduate,,TikTok,Yes,5.8,6,2,8,20-24,Spain,In Relationship
22,Male,Graduate,,LinkedIn,No,7.2,8,1,4,20-24,Italy,Single
18,Female,High School,,Instagram,Yes,5.5,5,4,9,15-19,Mexico,Single
21,Male,Undergraduate,,YouTube,No,6.8,7,2,5,20-24,Russia,In Relationship
20,Female,Undergraduate,,TikTok,Yes,6.0,6,3,7,20-24,China,Complicated
24,Male,Graduate,,LinkedIn,No,7.8,8,0,3,20-24,Sweden,Single
19,Female,High School,,Instagram,Yes,5.7,5,3,8,15-19,Norway,In Relationship
21,Male,Undergraduate,,Facebook,No,6.7,7,1,5,20-24,Denmark,Single
20,Female,Undergraduate,,Snapchat,Yes,5.9,6,3,7,20-24,Netherlands,Complicated
18,Male,High School,,TikTok,Yes,5.5,5,4,8,15-19,Belgium,Single
23,Female,Graduate,,LinkedIn,No,7.3,8,1,4,20-24,Switzerland,In Relationship
19,Male,Undergraduate,,Instagram,Yes,5.8,6,3,7,15-19,Austria,Complicated
20,Female,Undergraduate,,TikTok,Yes,5.4,5,4,8,20-24,Portugal,Single
22,Male,Graduate,,Facebook,No,6.9,7,2,5,20-24,Greece,In Relationship
19,Female,High School,,Instagram,Yes,5.2,5,4,9,15-19,Ireland,Complicated
21,Male,Undergraduate,,YouTube,No,6.6,7,1,5,20-24,New Zealand,Single
20,Female,Undergraduate,,TikTok,Yes,5.9,6,3,7,20-24,Singapore,In Relationship
24,Male,Graduate,,LinkedIn,No,7.4,8,0,3,20-24,Malaysia,Single
19,Female,High School,,Instagram,Yes,5.3,5,4,8,15-19,Thailand,Complicated
21,Male,Undergraduate,,Facebook,No,6.7,7,1,5,20-24,Vietnam,Single
20,Female,Undergraduate,,Snapchat,Yes,5.7,6,3,7,20-24,Philippines,In Relationship
18,Male,High School,,TikTok,Yes,5.4,5,4,8,15-19,Indonesia,Complicated
23,Female,Graduate,,LinkedIn,No,7.2,8,1,4,20-24,Taiwan,Single
19,Male,Undergraduate,,Instagram,Yes,5.8,6,3,7,15-19,Hong Kong,In Relationship
20,Female,Undergraduate,,TikTok,Yes,5.5,5,4,8,20-24,Turkey,Complicated
22,Male,Graduate,,Facebook,No,6.8,7,1,5,20-24,Israel,Single
19,Female,High School,,Instagram,Yes,5.1,5,4,9,15-19,UAE,In Relationship
21,Male,Undergraduate,,YouTube,No,6.5,7,2,6,20-24,Egypt,Complicated
20,Female,Undergraduate,,TikTok,Yes,5.8,6,3,7,20-24,Morocco,Single
24,Male,Graduate,,LinkedIn,No,7.3,8,1,4,20-24,South Africa,In Relationship
19,Female,High School,,Instagram,Yes,5.4,5,4,8,15-19,Nigeria,Complicated
21,Male,Undergraduate,,Facebook,No,6.6,7,2,5,20-24,Kenya,Single
20,Female,Undergraduate,,Snapchat,Yes,5.7,6,3,7,20-24,Ghana,In Relationship
18,Male,High School,,TikTok,Yes,5.3,5,4,8,15-19,Argentina,Single
23,Female,Graduate,,LinkedIn,No,7.1,8,1,4,20-24,Chile,Complicated
19,Male,Undergraduate,,Instagram,Yes,5.9,6,3,7,15-19,Colombia,In Relationship
20,Female,Undergraduate,,TikTok,Yes,5.6,5,4,8,20-24,Peru,Single
22,Male,Graduate,,Facebook,No,6.7,7,2,5,20-24,Venezuela,In Relationship
19,Female,High School,,Instagram,Yes,5.2,5,4,9,15-19,Ecuador,Complicated
21,Male,Undergraduate,,YouTube,No,6.4,7,2,6,20-24,Uruguay,Single
20,Female,Undergraduate,,TikTok,Yes,5.8,6,3,7,20-24,Paraguay,In Relationship
24,Male,Graduate,,LinkedIn,No,7.2,8,1,4,20-24,Bolivia,Complicated
19,Female,High School,,Instagram,Yes,5.5,5,4,8,15-19,Costa Rica,Single
21,Male,Undergraduate,,Facebook,No,6.5,7,2,5,20-24,Panama,In Relationship
20,Female,Undergraduate,,Snapchat,Yes,5.6,6,3,7,20-24,Jamaica,Complicated
18,Male,High School,,TikTok,Yes,5.2,5,4,8,15-19,Trinidad,Single
23,Female,Graduate,,LinkedIn,No,7.0,8,1,4,20-24,Bahamas,In Relationship
19,Male,Undergraduate,,Instagram,Yes,5.9,6,3,7,15-19,Iceland,Complicated
20,Female,Undergraduate,,TikTok,Yes,5.7,5,4,8,20-24,Finland,Single
22,Male,Graduate,,Facebook,No,7.1,7,1,5,20-24,Poland,Single
19,Female,Undergraduate,,Instagram,Yes,5.6,5,3,8,15-19,Romania,In Relationship
20,Male,Undergraduate,,TikTok,Yes,6.0,6,3,7,20-24,Hungary,Complicated
18,Female,High School,,Snapchat,Yes,5.2,4,4,9,15-19,Czech Republic,Single
23,Male,Graduate,,LinkedIn,No,7.4,8,1,3,20-24,Slovakia,In Relationship
21,Female,Undergraduate,,Instagram,Yes,5.8,6,3,7,20-24,Croatia,Single
20,Male,Undergraduate,,YouTube,No,6.5,7,2,6,20-24,Serbia,Complicated
